1,-13.6717,-13.6431,-13.5803,-13.5215,-13.4636,-13.3915
2,-14.6885,-14.6579,-14.5919,-14.5302,-14.4696,-14.3928
3,-15.534,-15.5016,-15.4316,-15.3658,-15.3003,-15.2173
4,-16.1661,-16.1318,-16.0586,-15.9896,-15.9211,-15.836
5,-16.6621,-16.6269,-16.5512,-16.4792,-16.4075,-16.3214
6,-17.0843,-17.0485,-16.972,-16.8991,-16.827,-16.7443
7,-17.5181,-17.4826,-17.4062,-17.3328,-17.2601,-17.1811
8,-17.9619,-17.9266,-17.8512,-17.7789,-17.7083,-17.6365
9,-18.3869,-18.3517,-18.2767,-18.2047,-18.1345,-18.067
10,-18.7022,-18.667,-18.5931,-18.5226,-18.4546,-18.3946
11,-18.9545,-18.9197,-18.8476,-18.779,-18.713,-18.6608
12,-19.1302,-19.0957,-19.0258,-18.9595,-18.8965,-18.8512
13,-19.2532,-19.2193,-19.1514,-19.0868,-19.0252,-18.9821
14,-19.3183,-19.2851,-19.2193,-19.1564,-19.0967,-19.0529
15,-19.3531,-19.3207,-19.2567,-19.1948,-19.1351,-19.0859
16,-19.3125,-19.2806,-19.218,-19.1568,-19.0974,-19.0406
17,-19.1654,-19.1342,-19.0723,-19.0108,-18.95,-18.8846
18,-18.8578,-18.8268,-18.7655,-18.7038,-18.6424,-18.5699
19,-18.4138,-18.3833,-18.3224,-18.26,-18.1969,-18.116
20,-17.834,-17.8035,-17.7429,-17.6799,-17.6156,-17.5267
21,-17.1259,-17.0957,-17.0348,-16.9706,-16.904,-16.8061
22,-16.2931,-16.2631,-16.2022,-16.1375,-16.0697,-15.965
23,-15.4583,-15.4291,-15.3686,-15.3037,-15.2349,-15.1258
24,-14.7008,-14.6722,-14.6129,-14.5493,-14.4817,-14.3727
25,-14.0603,-14.0326,-13.9749,-13.9131,-13.8473,-13.7417
26,-13.5091,-13.4817,-13.4259,-13.3668,-13.3046,-13.2052
27,-13.0073,-12.9801,-12.9259,-12.8691,-12.8095,-12.7159
28,-12.4982,-12.4708,-12.4181,-12.3636,-12.3073,-12.2202
29,-11.9501,-11.9225,-11.8703,-11.8166,-11.7614,-11.6774
30,-11.3229,-11.2948,-11.2422,-11.1886,-11.1341,-11.0516
31,-10.6504,-10.6219,-10.5691,-10.5154,-10.4612,-10.381
32,-9.97593,-9.94673,-9.89304,-9.839,-9.78492,-9.7067
33,-9.29863,-9.26874,-9.2139,-9.15893,-9.10417,-9.02673
34,-8.55808,-8.52726,-8.47132,-8.41563,-8.36066,-8.28371
35,-7.77096,-7.73946,-7.68219,-7.6254,-7.56957,-7.49395
36,-6.99882,-6.96652,-6.90783,-6.84999,-6.79363,-6.71953
37,-6.30093,-6.26827,-6.20858,-6.14979,-6.09258,-6.01999
38,-5.79143,-5.75902,-5.69992,-5.64191,-5.58568,-5.51768
39,-5.62452,-5.59315,-5.53578,-5.47932,-5.42442,-5.36224
40,-5.86452,-5.83375,-5.77761,-5.72235,-5.66863,-5.61112
41,-6.43505,-6.40422,-6.3475,-6.29149,-6.23681,-6.17995
42,-7.17222,-7.14026,-7.08109,-7.02279,-6.96597,-6.90665
43,-7.97662,-7.94332,-7.88077,-7.81905,-7.7586,-7.69377
44,-8.77499,-8.73998,-8.67374,-8.60868,-8.54504,-8.47495
45,-9.54266,-9.50608,-9.43592,-9.36708,-9.29956,-9.22353
46,-10.2864,-10.2483,-10.1746,-10.1025,-10.0319,-9.95066
47,-11.0152,-10.9759,-10.8992,-10.824,-10.75,-10.6629
48,-11.7055,-11.6647,-11.5852,-11.5073,-11.4307,-11.3385
49,-12.3308,-12.2887,-12.2063,-12.1253,-12.0454,-11.9469
50,-12.8898,-12.8462,-12.7611,-12.6774,-12.5947,-12.4894
51,-13.4676,-13.4228,-13.3358,-13.2495,-13.164,-13.0508
52,-14.0799,-14.0342,-13.9462,-13.8587,-13.7719,-13.6546
53,-14.7407,-14.6948,-14.607,-14.5195,-14.4324,-14.3147
54,-15.4285,-15.3831,-15.2971,-15.2113,-15.1262,-15.0141
55,-16.1548,-16.1105,-16.027,-15.9438,-15.8611,-15.757
56,-16.8909,-16.8476,-16.7668,-16.6863,-16.6066,-16.5115
