    #         X           Y           Z        CHARGE     MIN DIST    ATOMIC VOL
 --------------------------------------------------------------------------------
   84      9.1596      3.8534     20.1727      7.0293      0.8711     14.1527
   85      9.1589      7.7101     20.1726      7.0293      0.8716     14.1499
   86      4.0471      1.9240     20.1774      7.0287      0.8693     14.1753
   87      4.0483      9.6390     20.1751      7.0279      0.8703     14.1624
   88      1.8315      7.7125     21.0382      7.0341      0.8890     14.0859
   89      1.8286      3.8522     21.0351      7.0333      0.8896     14.0629
   90      6.9475      1.9280     21.0535      7.0342      0.8924     14.1523
   91      6.9487      9.6379     21.0529      7.0348      0.8942     14.1604
   92      1.8499      0.0011     21.0574      7.0387      0.8879     14.2156
   93      6.9542      5.7824     21.0528      7.0353      0.8898     14.1576
   94      0.3536      5.7825     21.7206      7.0364      0.8865     14.1556
   95      0.3554      9.6372     21.7180      7.0347      0.8948     14.0867
   96      0.3555      1.9283     21.7210      7.0336      0.8932     14.0786
   97      5.4638      0.0015     21.7251      7.0386      0.8912     14.2096
   98      5.4679      3.8534     21.7179      7.0341      0.8931     14.1169
   99      5.4684      7.7113     21.7229      7.0342      0.8925     14.1471
  100      3.2497      5.7738     22.5490      7.0415      0.8527     14.5416
  101      8.3934      0.0052     22.6064      7.0358      0.8808     14.3792
  102      8.3895      3.8610     22.6241      7.0376      0.8712     14.5234
  103      8.3898      7.7053     22.6235      7.0362      0.8706     14.5109
  104      3.2746      1.9608     22.6385      7.0419      0.8809     14.7869
  105      3.2763      9.6134     22.6339      7.0404      0.8776     14.7176
  106      0.4404      0.0005     23.7909      7.0194      0.8446     14.4247
  107      5.5313      1.9306     23.8096      7.0199      0.8389     14.5053
  108      5.5353      9.6429     23.8054      7.0188      0.8405     14.5041
  109      0.4430      3.8485     23.8143      7.0177      0.8235     14.5403
  110      0.4440      7.7212     23.8101      7.0200      0.8264     14.5133
  111      5.5086      5.7766     23.8135      7.0900      0.8479     15.3103
  112      8.4125      9.6613     24.6538      7.0515      0.8910     14.9751
  113      8.4119      1.9128     24.6659      7.0517      0.8986     15.0202
  114      8.4995      5.7874     24.7280      7.0623      0.8927     15.6040
  115      3.3023      0.0022     24.7201      7.0583      0.8886     15.3957
  116      3.3170      3.8441     24.8748      7.0937      0.8835     15.4247
  117      3.3120      7.7291     24.8351      7.0964      0.8775     15.3647
  118      7.0151      0.0046     25.6272      7.0898      0.8930     33.9328
  119      7.0111      3.7978     25.6257      7.0973      0.8718     24.9425
  120      7.0318      7.7904     25.6542      7.1018      0.8821     27.7576
  121      1.8730      9.6522     25.6217      7.0832      0.9020     33.1435
  122      1.8675      1.9143     25.6197      7.0836      0.9021     29.4066
  123      1.7454      5.7843     25.6676      7.1058      0.8847     21.2696
  124      9.9212      0.0005     26.2328      6.9885      0.8124    123.5923
  125      4.8298      1.8994     26.2588      6.9887      0.8438     57.4305
  126      4.8310      9.6436     26.2525      6.9992      0.8408     74.6103
  127      9.8941      3.7862     26.2615      6.9835      0.8191     65.9297
  128      9.9018      7.7873     26.2567      6.9826      0.8337     74.1618
  129      4.7682      3.5853      8.8278      7.2227      0.7696     16.3095
  130      4.7586      6.0589     26.6717      7.1991      0.7423     16.0113
  131      8.1609      1.9303     10.0566      1.9621      0.8621      9.3671
  132      8.1686      5.7755     10.0494      1.9636      0.8648      9.2293
  133      8.1420      9.6357     10.0912      1.9600      0.8598      9.7273
  134      3.0140     11.5408     10.0930      1.9628      0.8596      9.3489
  135      3.0170      7.7123     10.0894      1.9619      0.8612      9.3606
  136      2.9402      3.8292     10.1068      2.1575      0.8689     10.6564
  137      5.8401     11.5602     10.8159      1.9517      0.8807      7.7990
  138      5.8395      7.7073     10.8049      1.9517      0.8866      7.8320
  139      0.7294      1.9014     10.8341      1.9637      0.8900      7.8163
  140      0.7369      5.7969     10.8331      1.9593      0.8947      7.8042
  141      0.7181      9.6317     10.8537      1.9580      0.8951      7.7599
  142      5.9439      3.8576     10.9462      2.1888      0.9187      9.3397
  143      4.4360      3.8552     13.6498      1.9375      0.9066      7.6596
  144      9.5542      5.7770     13.6672      1.9403      0.9051      7.6205
  145      9.5536      1.9308     13.6697      1.9412      0.9041      7.6310
  146      4.4475      0.0013     13.6690      1.9391      0.9017      7.6153
  147      4.4499      7.7053     13.6656      1.9438      0.9027      7.6535
  148      9.5516      9.6354     13.6855      1.9401      0.8977      7.6120
  149      7.3183      0.0033     14.5623      1.9347      0.9096      7.7031
  150      7.3180      7.7035     14.5602      1.9355      0.9128      7.7156
  151      2.2077      1.9271     14.5653      1.9366      0.9118      7.7281
  152      2.2113      9.6346     14.5670      1.9376      0.9128      7.7317
  153      2.2075      5.7813     14.5681      1.9338      0.9137      7.6858
  154      7.3206      3.8547     14.5985      1.9420      0.9016      7.6427
  155      5.8587      7.7093     17.3044      1.9403      0.8990      7.5782
  156      0.7490      9.6365     17.3044      1.9416      0.9056      7.5552
  157      5.8587      3.8546     17.3044      1.9428      0.9056      7.5403
  158      0.7490      5.7820     17.3044      1.9370      0.9053      7.5387
  159      0.7490      1.9274     17.3044      1.9405      0.8990      7.5649
  160      5.8587      0.0000     17.3044      1.9368      0.9053      7.5419
  161      3.6672      9.6365     18.1970      1.9391      0.9077      7.5629
  162      8.7769      7.7093     18.1970      1.9390      0.9077      7.5564
  163      3.6672      1.9274     18.1970      1.9382      0.9077      7.5589
  164      3.6672      5.7820     18.1970      1.9387      0.9074      7.5089
  165      8.7769      3.8546     18.1970      1.9388      0.9077      7.5560
  166      8.7769      0.0000     18.1970      1.9369      0.9074      7.5202
  167      2.2051      5.7817     20.9033      1.9375      0.8921      7.5975
  168      7.3183      3.8550     20.9333      1.9383      0.9178      7.7144
